The problem entered was an instance of spLCP having the form

	w - M(x)z = q(x)
	w'z = 0
	w,z >= 0

with M(x) =

	[ 0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             -1            2             2             -1            -2            2             0             0             -1            -1           ]
	[ 0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             -1            0             1             0             0             -1            2             2             1             0            ]
	[ 0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             2             -2            0             -1            1             2             1             1             -2            2            ]
	[ 0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             -1            -1            -1            -1            2             1             0             -1            1             1            ]
	[ 0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             -2            0             0             0             -1            -2            1             -1            0             2            ]
	[ 0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             -2            -1            -1            0             -2            1             0             1             2             0            ]
	[ 0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             -2            1             1             -2            1             2             -1            -1            1             -1           ]
	[ 0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             1             2             2             -1            -2            2             -2            1             -2           ]
	[ 0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             -1            -1            0             1             1             -2            2             1             2             -2           ]
	[ 0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             -1            1             -2            -1            0             1             0             -1           ]
	[ 0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             -2            -1            -1            0             -1            -2            -1            1             -2            2            ]
	[ 0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             -1            -2            2             1             0             2             1             0             1            ]
	[ 0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             1             -2            1             -1            1             -2            -1            2            ]
	[ 0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             2             2             -2            2             0             2             -2            -1            -1            2            ]
	[ 0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             -1            -2            2             0             -1            -2            -1            2             -2           ]
	[ 1             1             -2            1             2             2             2             -1            1             0             2             -1            0             -2            0             6*x_1 + 8     2*x_1 + 6     -8*x_1 - 1    x_1 - 5       -2*x_1 + 5    -8*x_1        -6*x_1 + 4    -2*x_1        -13*x_1 + 4   x_1 + 1      ]
	[ -2            0             2             1             0             1             -1            -1            1             0             1             1             -1            -2            1             2*x_1 + 6     3*x_1 + 18    -12*x_1 + 2   3*x_1         -x_1 - 1      5*x_1 - 7     4*x_1 + 1     3             -10*x_1 + 1   3*x_1 - 1    ]
	[ -2            -1            0             1             0             1             -1            -2            0             1             1             2             -1            2             2             -8*x_1 - 1    -12*x_1 + 2   15            -7*x_1 + 3    6*x_1 - 5     5*x_1 - 2     5*x_1 - 4     x_1 - 2       10*x_1 - 4    7*x_1        ]
	[ 1             0             1             1             0             0             2             -2            -1            -1            0             -2            2             -2            -2            x_1 - 5       3*x_1         -7*x_1 + 3    4*x_1 + 11    -x_1 - 4      6*x_1 - 5     13*x_1 - 5    -3*x_1 + 5    10*x_1 - 5    -10*x_1 + 3  ]
	[ 2             0             -1            -2            1             2             -1            1             -1            2             1             -1            -1            0             0             -2*x_1 + 5    -x_1 - 1      6*x_1 - 5     -x_1 - 4      16*x_1 + 11   -16*x_1 + 3   -10*x_1 + 8   -11*x_1 + 2   -x_1 + 4      4*x_1        ]
	[ -2            1             -2            -1            2             -1            -2            2             2             1             2             0             1             -2            1             -8*x_1        5*x_1 - 7     5*x_1 - 2     6*x_1 - 5     -16*x_1 + 3   -2*x_1 + 19   3*x_1 - 1     17*x_1 - 9    4*x_1         -8*x_1 + 1   ]
	[ 0             -2            -1            0             -1            0             1             -2            -2            0             1             -2            -1            2             2             -6*x_1 + 4    4*x_1 + 1     5*x_1 - 4     13*x_1 - 5    -10*x_1 + 8   3*x_1 - 1     -2*x_1 + 14   5*x_1 - 2     -4*x_1 + 10   5*x_1 - 6    ]
	[ 0             -2            -1            1             1             -1            1             2             -1            -1            -1            -1            2             1             1             -2*x_1        3             x_1 - 2       -3*x_1 + 5    -11*x_1 + 2   17*x_1 - 9    5*x_1 - 2     -x_1 + 14     4*x_1 - 2     -3*x_1 + 4   ]
	[ 1             -1            2             -1            0             -2            -1            -1            -2            0             2             0             1             1             -2            -13*x_1 + 4   -10*x_1 + 1   10*x_1 - 4    10*x_1 - 5    -x_1 + 4      4*x_1         -4*x_1 + 10   4*x_1 - 2     16            x_1 - 6      ]
	[ 1             0             -2            -1            -2            0             1             2             2             1             -2            -1            -2            -2            2             x_1 + 1       3*x_1 - 1     7*x_1         -10*x_1 + 3   4*x_1         -8*x_1 + 1    5*x_1 - 6     -3*x_1 + 4    x_1 - 6       9*x_1 + 7    ]

and q(x) =

	[ 3          ]
	[ -1         ]
	[ 0          ]
	[ 0          ]
	[ 4          ]
	[ 3          ]
	[ 3          ]
	[ -7         ]
	[ -1         ]
	[ 2          ]
	[ 12         ]
	[ -8         ]
	[ 1          ]
	[ -12        ]
	[ -1         ]
	[ 2          ]
	[ 2*x_1      ]
	[ -2*x_1 + 2 ]
	[ 2*x_1 - 1  ]
	[ -4*x_1 + 2 ]
	[ 0          ]
	[ -3*x_1 + 1 ]
	[ x_1        ]
	[ x_1        ]
	[ -1         ]

subject to the additional restriction that 'x' must satisfy:

	-x_1 <= 0   
	x_1  <= 1   



**************************************************************************************************

The solution was computed in 0.37 seconds and consists of the following regions.

**************************************************************************************************




Region 1:

	z_1 = 59*x_1 + 76                >= 0 
	w_2 = 0                          >= 0 
	z_3 = 30921/730*x_1 + 23237/365  >= 0 
	w_4 = 0                          >= 0 
	z_5 = 29719/730*x_1 - 3019/730   >= 0 
	z_6 = -6193/365*x_1 + 18391/730  >= 0 
	w_7 = 0                          >= 0 
	z_8 = -491/146*x_1 + 1172/73     >= 0 
	z_9 = 26243/730*x_1 + 20491/365  >= 0 
	w_10 = 0                          >= 0 
	w_11 = 0                          >= 0 
