LCP


h
25

k
1

M_data
1,1,0,25
1,2,0,5
1,3,0,-5
1,4,0,2
1,6,0,-4
1,8,0,-4
1,9,0,-8
1,10,0,-6
1,12,0,-3
1,13,0,-5
1,14,0,4
1,15,0,-8
1,16,0,1
1,17,0,1
1,18,0,1
1,19,0,1
1,20,0,1
1,21,0,1
1,22,0,1
1,23,0,1
1,24,0,1
1,25,0,1
2,1,0,5
2,2,0,10
2,3,0,1
2,4,0,5
2,5,0,-1
2,6,0,1
2,7,0,-6
2,8,0,-3
2,9,0,2
2,11,0,-2
2,12,0,-1
2,13,0,-2
2,14,0,-2
2,15,0,-2
3,1,0,-5
3,2,0,1
3,3,0,25
3,4,0,-2
3,5,0,7
3,6,0,5
3,7,0,-3
3,8,0,-4
3,9,0,13
3,10,0,5
3,11,0,-5
3,12,0,1
3,13,0,-5
3,14,0,-16
3,15,0,-1
4,1,0,2
4,2,0,5
4,3,0,-2
4,4,0,34
4,5,0,2
4,6,0,7
4,7,0,-4
4,8,0,-7
4,9,0,-14
4,10,0,-3
4,11,0,-5
4,12,0,-4
4,13,0,14
4,14,0,7
4,15,0,1
5,2,0,-1
5,3,0,7
5,4,0,2
5,5,0,18
5,6,0,6
5,7,0,-11
5,8,0,2
5,9,0,3
5,10,0,-8
5,11,0,-11
5,12,0,-3
5,13,0,2
5,14,0,-3
5,15,0,1
6,1,0,-4
6,2,0,1
6,3,0,5
6,4,0,7
6,5,0,6
6,6,0,33
6,8,0,9
6,9,0,-10
6,10,0,5
6,11,0,-8
6,12,0,5
6,13,0,5
6,14,0,-3
7,2,0,-6
7,3,0,-3
7,4,0,-4
7,5,0,-11
7,7,0,24
7,8,0,4
7,9,0,-7
7,10,0,3
7,11,0,4
7,12,0,10
7,13,0,-7
7,14,0,4
7,15,0,7
8,1,0,-4
8,2,0,-3
8,3,0,-4
8,4,0,-7
8,5,0,2
8,6,0,9
8,7,0,4
8,8,0,23
8,9,0,-8
8,10,0,2
8,11,0,-5
8,12,0,4
8,13,0,-5
8,14,0,-4
8,15,0,3
9,1,0,-8
9,2,0,2
9,3,0,13
9,4,0,-14
9,5,0,3
9,6,0,-10
9,7,0,-7
9,8,0,-8
9,9,0,36
9,10,0,3
9,11,0,4
9,12,0,-1
9,13,0,-4
9,14,0,-11
9,15,0,-2
10,1,0,-6
10,3,0,5
10,4,0,-3
10,5,0,-8
10,6,0,5
10,7,0,3
10,8,0,2
10,9,0,3
10,10,0,16
10,11,0,5
10,12,0,6
10,13,0,-5
10,14,0,-6
10,15,0,4
11,2,0,-2
11,3,0,-5
11,4,0,-5
11,5,0,-11
11,6,0,-8
11,7,0,4
11,8,0,-5
11,9,0,4
11,10,0,5
11,11,0,20
11,12,0,-6
11,14,0,5
11,15,0,-5
12,1,0,-3
12,2,0,-1
12,3,0,1
12,4,0,-4
12,5,0,-3
12,6,0,5
12,7,0,10
12,8,0,4
12,9,0,-1
12,10,0,6
12,11,0,-6
12,12,0,25
12,13,0,-12
12,14,0,-4
12,15,0,16
13,1,0,-5
13,2,0,-2
13,3,0,-5
13,4,0,14
13,5,0,2
13,6,0,5
13,7,0,-7
13,8,0,-5
13,9,0,-4
13,10,0,-5
13,12,0,-12
13,13,0,21
13,14,0,6
13,15,0,-10
14,1,0,4
14,2,0,-2
14,3,0,-16
14,4,0,7
14,5,0,-3
14,6,0,-3
14,7,0,4
14,8,0,-4
14,9,0,-11
14,10,0,-6
14,11,0,5
14,12,0,-4
14,13,0,6
14,14,0,16
14,15,0,2
15,1,0,-8
15,2,0,-2
15,3,0,-1
15,4,0,1
15,5,0,1
15,7,0,7
15,8,0,3
15,9,0,-2
15,10,0,4
15,11,0,-5
15,12,0,16
15,13,0,-10
15,14,0,2
15,15,0,23
16,1,0,-1
17,1,0,-1
18,1,0,-1
19,1,0,-1
20,1,0,-1
21,1,0,-1
22,1,0,-1
23,1,0,-1
24,1,0,-1
25,1,0,-1
25,25,0,3
25,25,1,1

q_data
1,0,-49
1,1,-2
2,0,-9
3,0,-44
4,0,-125
5,0,21
6,0,-88
7,0,-47
7,1,-25
8,0,63
9,0,-7
10,0,-43
11,0,-40
12,0,-2
13,0,-43
14,0,-16
16,0,4
17,0,4
17,1,-2
18,0,4
19,0,4
20,0,4
21,0,4
21,1,4
22,0,4
23,0,4
23,1,2
24,0,4
25,0,-11

Param_Space
1,1,-1
2,1,1

Param_Space_RHS
0
1

END
